freq	z
2.7000000000000	0.000000
2.7100000000000	0.000000
2.7200000000000	0.000000
2.7300000000000	0.000000
2.7400000000000	11.247460
2.7500000000000	6.630343
2.7600000000000	5.162971
2.7700000000000	4.376826
2.7800000000000	3.869066
2.7900000000000	3.506927
2.8000000000000	3.232161
2.8100000000000	3.014666
2.8200000000000	2.837106
2.8300000000000	2.688706
2.8400000000000	2.562365
2.8500000000000	2.453190
2.8600000000000	2.357687
2.8700000000000	2.273280
2.8800000000000	2.198028
2.8900000000000	2.130433
2.9000000000000	2.069321
2.9100000000000	2.013754
2.9200000000000	1.962976
2.9300000000000	1.916365
2.9400000000000	1.873409
2.9500000000000	1.833680
2.9600000000000	1.796815
2.9700000000000	1.762508
2.9800000000000	1.730496
2.9900000000000	1.700552
3.0000000000000	1.672480
3.0100000000000	1.646109
3.0200000000000	1.621289
3.0300000000000	1.597887
3.0400000000000	1.575787
3.0500000000000	1.554885
3.0600000000000	1.535088
3.0700000000000	1.516313
3.0800000000000	1.498487
3.0900000000000	1.481541
3.1000000000000	1.465416
3.1100000000000	1.450057
3.1200000000000	1.435413
3.1300000000000	1.421440
3.1400000000000	1.408095
3.1500000000000	1.395342
3.1600000000000	1.383145
3.1700000000000	1.371472
3.1800000000000	1.360294
3.1900000000000	1.349583
3.2000000000000	1.339316
3.2100000000000	1.329468
3.2200000000000	1.320018
3.2300000000000	1.310947
3.2400000000000	1.302235
3.2500000000000	1.293865
3.2600000000000	1.285822
3.2700000000000	1.278091
3.2800000000000	1.270657
3.2900000000000	1.263508
3.3000000000000	1.256631

